Inference for Stan model: Hier_model_TP_new_updated.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
f[17]            1.63    0.01 0.55   0.64   1.24   1.61   2.00   2.80
f[18]            1.06    0.01 0.60  -0.08   0.65   1.04   1.46   2.27
f[19]            1.14    0.01 0.45   0.30   0.83   1.13   1.44   2.10
f[20]            1.25    0.01 0.43   0.45   0.96   1.23   1.53   2.10
f[21]           -0.15    0.01 0.75  -1.66  -0.64  -0.14   0.35   1.30
f[22]            0.78    0.01 0.63  -0.43   0.36   0.76   1.19   2.02
f[23]            1.23    0.01 0.58   0.12   0.82   1.21   1.61   2.39
f[24]            1.24    0.01 0.45   0.43   0.94   1.23   1.54   2.16
f[25]            1.78    0.01 0.59   0.71   1.35   1.75   2.16   3.01
f[26]            1.64    0.01 0.48   0.78   1.30   1.63   1.96   2.65
f[27]            1.14    0.01 0.46   0.31   0.82   1.11   1.44   2.10
f[28]            1.07    0.01 0.37   0.39   0.82   1.06   1.32   1.84
f[29]            1.45    0.01 0.40   0.72   1.17   1.44   1.72   2.28
f[30]            1.19    0.01 0.44   0.40   0.89   1.17   1.48   2.11
f[31]            0.67    0.01 0.54  -0.35   0.30   0.66   1.02   1.80
f[32]            0.10    0.01 0.57  -1.01  -0.28   0.09   0.46   1.25
f[33]           -0.75    0.01 0.67  -2.09  -1.19  -0.75  -0.31   0.56
f[34]           -0.24    0.01 0.42  -1.10  -0.51  -0.22   0.04   0.57
f[35]            0.27    0.01 0.40  -0.53   0.00   0.27   0.54   1.07
f[36]            1.79    0.01 0.50   0.89   1.44   1.76   2.11   2.85
f[37]            1.74    0.01 0.53   0.79   1.37   1.70   2.08   2.87
f[38]            1.41    0.01 0.55   0.40   1.02   1.38   1.77   2.53
f[39]            2.74    0.02 0.97   1.09   2.04   2.66   3.38   4.82
f[40]            0.93    0.01 0.49   0.04   0.59   0.90   1.24   1.95
f[41]            1.86    0.02 0.77   0.55   1.31   1.82   2.36   3.51
f[42]            2.02    0.02 0.98   0.33   1.33   1.95   2.64   4.15
f[43]            3.45    0.03 1.29   1.15   2.57   3.34   4.27   6.30
f[44]            6.10    0.06 2.66   1.55   4.22   5.91   7.81  11.82
f[45]            2.48    0.02 0.93   0.83   1.83   2.41   3.07   4.52
f[46]           -1.22    0.01 0.67  -2.64  -1.66  -1.21  -0.76   0.07
f[47]           -1.24    0.01 0.66  -2.60  -1.67  -1.22  -0.79   0.03
f[48]            2.72    0.02 0.99   0.98   2.05   2.64   3.34   4.86
f[49]            1.82    0.02 0.89   0.20   1.21   1.76   2.37   3.74
f[50]            2.93    0.02 1.01   1.17   2.24   2.85   3.58   5.14
f[51]            2.77    0.02 0.84   1.29   2.19   2.71   3.29   4.60
f[52]            1.82    0.01 0.80   0.35   1.28   1.79   2.31   3.52
f[53]            2.93    0.02 0.86   1.43   2.33   2.87   3.48   4.76
f[54]            1.66    0.01 0.76   0.27   1.15   1.63   2.13   3.25
f[55]            1.93    0.01 0.71   0.64   1.45   1.90   2.38   3.46
f[56]            2.01    0.01 0.60   0.93   1.60   1.98   2.39   3.28
f[57]            1.26    0.01 0.50   0.33   0.92   1.24   1.58   2.27
f[58]            1.24    0.01 0.46   0.39   0.92   1.23   1.55   2.18
f[59]            1.03    0.01 0.67  -0.26   0.58   1.01   1.47   2.38
f[60]            1.57    0.01 0.55   0.58   1.18   1.54   1.93   2.72
f[61]            1.38    0.02 0.99  -0.49   0.70   1.34   2.00   3.49
f[62]            2.04    0.02 0.88   0.47   1.44   1.98   2.60   3.93
f[63]            1.56    0.01 0.55   0.57   1.19   1.54   1.92   2.71
f[64]            0.98    0.01 0.53  -0.03   0.62   0.96   1.33   2.06
f[65]           -0.49    0.01 0.62  -1.68  -0.90  -0.47  -0.08   0.71
f[66]           -1.50    0.01 0.71  -2.99  -1.95  -1.48  -1.01  -0.17
f[67]           -1.80    0.01 0.78  -3.43  -2.29  -1.77  -1.26  -0.35
f[68]            1.72    0.01 0.49   0.84   1.37   1.68   2.02   2.74
f[69]            2.05    0.01 0.64   0.93   1.59   2.01   2.47   3.41
f[70]           -1.57    0.01 0.77  -3.21  -2.05  -1.55  -1.04  -0.16
f[71]           -0.34    0.01 0.69  -1.70  -0.81  -0.34   0.10   1.03
f[72]           -2.40    0.02 0.96  -4.46  -3.00  -2.34  -1.74  -0.68
f[73]            0.43    0.01 0.48  -0.49   0.12   0.43   0.75   1.36
f[74]            1.94    0.01 0.53   0.98   1.56   1.92   2.29   3.07
f[75]            1.81    0.01 0.47   0.94   1.49   1.79   2.12   2.78
f[76]            1.39    0.01 0.49   0.48   1.05   1.37   1.71   2.39
f[77]            1.49    0.01 0.41   0.73   1.21   1.47   1.76   2.33
f[78]            1.33    0.01 0.46   0.48   1.00   1.31   1.63   2.30
f[79]           -0.34    0.01 0.51  -1.39  -0.67  -0.32   0.01   0.61
f[80]            2.03    0.02 0.96   0.31   1.38   1.96   2.63   4.11
f[81]            2.42    0.02 1.01   0.64   1.72   2.34   3.04   4.59
f[82]           -1.44    0.01 0.72  -2.93  -1.90  -1.43  -0.94  -0.11
f[83]            5.18    0.05 2.18   1.43   3.64   5.02   6.56   9.88
y_predict[1]     0.40    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[2]     0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[3]     0.60    0.01 0.49   0.00   0.00   1.00   1.00   1.00
y_predict[4]     0.35    0.01 0.48   0.00   0.00   0.00   1.00   1.00
y_predict[5]     0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[6]     0.60    0.01 0.49   0.00   0.00   1.00   1.00   1.00
y_predict[7]     0.18    0.01 0.38   0.00   0.00   0.00   0.00   1.00
y_predict[8]     0.52    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[9]     0.40    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[10]    0.49    0.01 0.50   0.00   0.00   0.00   1.00   1.00
y_predict[11]    0.87    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[12]    0.78    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[13]    0.82    0.01 0.39   0.00   1.00   1.00   1.00   1.00
y_predict[14]    0.78    0.01 0.41   0.00   1.00   1.00   1.00   1.00
y_predict[15]    0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[16]    0.97    0.00 0.18   0.00   1.00   1.00   1.00   1.00
y_predict[17]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[18]    0.73    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[19]    0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[20]    0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[21]    0.46    0.01 0.50   0.00   0.00   0.00   1.00   1.00
y_predict[22]    0.67    0.01 0.47   0.00   0.00   1.00   1.00   1.00
y_predict[23]    0.76    0.01 0.43   0.00   1.00   1.00   1.00   1.00
y_predict[24]    0.76    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[25]    0.83    0.01 0.37   0.00   1.00   1.00   1.00   1.00
y_predict[26]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[27]    0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[28]    0.73    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[29]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[30]    0.75    0.01 0.43   0.00   1.00   1.00   1.00   1.00
y_predict[31]    0.66    0.01 0.47   0.00   0.00   1.00   1.00   1.00
y_predict[32]    0.53    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[33]    0.33    0.01 0.47   0.00   0.00   0.00   1.00   1.00
y_predict[34]    0.44    0.01 0.50   0.00   0.00   0.00   1.00   1.00
y_predict[35]    0.57    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[36]    0.84    0.01 0.37   0.00   1.00   1.00   1.00   1.00
y_predict[37]    0.84    0.01 0.36   0.00   1.00   1.00   1.00   1.00
y_predict[38]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[39]    0.92    0.00 0.27   0.00   1.00   1.00   1.00   1.00
y_predict[40]    0.69    0.01 0.46   0.00   0.00   1.00   1.00   1.00
y_predict[41]    0.84    0.01 0.36   0.00   1.00   1.00   1.00   1.00
y_predict[42]    0.84    0.01 0.37   0.00   1.00   1.00   1.00   1.00
y_predict[43]    0.95    0.00 0.23   0.00   1.00   1.00   1.00   1.00
y_predict[44]    0.98    0.00 0.14   1.00   1.00   1.00   1.00   1.00
y_predict[45]    0.90    0.00 0.30   0.00   1.00   1.00   1.00   1.00
y_predict[46]    0.24    0.01 0.43   0.00   0.00   0.00   0.00   1.00
y_predict[47]    0.25    0.01 0.43   0.00   0.00   0.00   0.00   1.00
y_predict[48]    0.92    0.00 0.28   0.00   1.00   1.00   1.00   1.00
y_predict[49]    0.83    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[50]    0.92    0.00 0.28   0.00   1.00   1.00   1.00   1.00
y_predict[51]    0.93    0.00 0.26   0.00   1.00   1.00   1.00   1.00
y_predict[52]    0.83    0.01 0.37   0.00   1.00   1.00   1.00   1.00
y_predict[53]    0.94    0.00 0.24   0.00   1.00   1.00   1.00   1.00
y_predict[54]    0.82    0.01 0.39   0.00   1.00   1.00   1.00   1.00
y_predict[55]    0.86    0.01 0.35   0.00   1.00   1.00   1.00   1.00
y_predict[56]    0.87    0.01 0.33   0.00   1.00   1.00   1.00   1.00
y_predict[57]    0.76    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[58]    0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[59]    0.73    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[60]    0.81    0.01 0.39   0.00   1.00   1.00   1.00   1.00
y_predict[61]    0.76    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[62]    0.85    0.01 0.36   0.00   1.00   1.00   1.00   1.00
y_predict[63]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[64]    0.73    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[65]    0.39    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[66]    0.21    0.01 0.41   0.00   0.00   0.00   0.00   1.00
y_predict[67]    0.17    0.01 0.38   0.00   0.00   0.00   0.00   1.00
y_predict[68]    0.85    0.01 0.36   0.00   1.00   1.00   1.00   1.00
f_invlogit[1]    0.40    0.00 0.12   0.18   0.32   0.40   0.48   0.65
f_invlogit[2]    0.78    0.00 0.07   0.64   0.74   0.78   0.83   0.89
f_invlogit[3]    0.60    0.00 0.08   0.43   0.55   0.60   0.65   0.74
f_invlogit[4]    0.35    0.00 0.13   0.12   0.26   0.35   0.44   0.63
f_invlogit[5]    0.74    0.00 0.07   0.60   0.69   0.74   0.79   0.86
f_invlogit[6]    0.60    0.00 0.12   0.35   0.51   0.60   0.69   0.81
f_invlogit[7]    0.17    0.00 0.10   0.03   0.09   0.15   0.22   0.42
f_invlogit[8]    0.52    0.00 0.14   0.25   0.42   0.52   0.62   0.78
f_invlogit[9]    0.40    0.00 0.12   0.19   0.32   0.40   0.48   0.64
f_invlogit[10]   0.50    0.00 0.11   0.28   0.42   0.50   0.57   0.70
f_invlogit[11]   0.86    0.00 0.07   0.70   0.83   0.88   0.92   0.96
f_invlogit[12]   0.78    0.00 0.09   0.58   0.72   0.79   0.85   0.92
f_invlogit[13]   0.83    0.00 0.06   0.70   0.79   0.84   0.87   0.93
f_invlogit[14]   0.78    0.00 0.12   0.51   0.71   0.79   0.87   0.95
f_invlogit[15]   0.73    0.00 0.08   0.57   0.68   0.73   0.79   0.87
f_invlogit[16]   0.97    0.00 0.04   0.87   0.96   0.98   0.99   1.00
f_invlogit[17]   0.82    0.00 0.08   0.65   0.78   0.83   0.88   0.94
f_invlogit[18]   0.73    0.00 0.11   0.48   0.66   0.74   0.81   0.91
f_invlogit[19]   0.75    0.00 0.08   0.58   0.70   0.76   0.81   0.89
f_invlogit[20]   0.77    0.00 0.07   0.61   0.72   0.77   0.82   0.89
f_invlogit[21]   0.47    0.00 0.17   0.16   0.35   0.46   0.59   0.79
f_invlogit[22]   0.67    0.00 0.13   0.39   0.59   0.68   0.77   0.88
f_invlogit[23]   0.76    0.00 0.10   0.53   0.69   0.77   0.83   0.92
f_invlogit[24]   0.77    0.00 0.08   0.61   0.72   0.77   0.82   0.90
f_invlogit[25]   0.84    0.00 0.07   0.67   0.79   0.85   0.90   0.95
f_invlogit[26]   0.83    0.00 0.07   0.69   0.79   0.84   0.88   0.93
f_invlogit[27]   0.75    0.00 0.08   0.58   0.69   0.75   0.81   0.89
f_invlogit[28]   0.74    0.00 0.07   0.60   0.69   0.74   0.79   0.86
f_invlogit[29]   0.80    0.00 0.06   0.67   0.76   0.81   0.85   0.91
f_invlogit[30]   0.76    0.00 0.08   0.60   0.71   0.76   0.81   0.89
f_invlogit[31]   0.65    0.00 0.11   0.41   0.57   0.66   0.74   0.86
f_invlogit[32]   0.52    0.00 0.13   0.27   0.43   0.52   0.61   0.78
f_invlogit[33]   0.33    0.00 0.14   0.11   0.23   0.32   0.42   0.64
f_invlogit[34]   0.44    0.00 0.10   0.25   0.38   0.44   0.51   0.64
f_invlogit[35]   0.57    0.00 0.10   0.37   0.50   0.57   0.63   0.74
f_invlogit[36]   0.85    0.00 0.06   0.71   0.81   0.85   0.89   0.95
f_invlogit[37]   0.84    0.00 0.07   0.69   0.80   0.85   0.89   0.95
f_invlogit[38]   0.79    0.00 0.09   0.60   0.74   0.80   0.85   0.93
f_invlogit[39]   0.92    0.00 0.07   0.75   0.88   0.93   0.97   0.99
f_invlogit[40]   0.71    0.00 0.10   0.51   0.64   0.71   0.78   0.88
f_invlogit[41]   0.84    0.00 0.09   0.63   0.79   0.86   0.91   0.97
f_invlogit[42]   0.85    0.00 0.11   0.58   0.79   0.88   0.93   0.98
f_invlogit[43]   0.94    0.00 0.06   0.76   0.93   0.97   0.99   1.00
f_invlogit[44]   0.98    0.00 0.06   0.82   0.99   1.00   1.00   1.00
f_invlogit[45]   0.90    0.00 0.08   0.70   0.86   0.92   0.96   0.99
f_invlogit[46]   0.25    0.00 0.12   0.07   0.16   0.23   0.32   0.52
f_invlogit[47]   0.24    0.00 0.11   0.07   0.16   0.23   0.31   0.51
f_invlogit[48]   0.91    0.00 0.07   0.73   0.89   0.93   0.97   0.99
f_invlogit[49]   0.83    0.00 0.11   0.55   0.77   0.85   0.91   0.98
f_invlogit[50]   0.93    0.00 0.06   0.76   0.90   0.95   0.97   0.99
f_invlogit[51]   0.92    0.00 0.05   0.78   0.90   0.94   0.96   0.99
f_invlogit[52]   0.84    0.00 0.10   0.59   0.78   0.86   0.91   0.97
f_invlogit[53]   0.93    0.00 0.05   0.81   0.91   0.95   0.97   0.99
f_invlogit[54]   0.82    0.00 0.10   0.57   0.76   0.84   0.89   0.96
f_invlogit[55]   0.85    0.00 0.08   0.65   0.81   0.87   0.92   0.97
f_invlogit[56]   0.87    0.00 0.06   0.72   0.83   0.88   0.92   0.96
f_invlogit[57]   0.77    0.00 0.08   0.58   0.71   0.78   0.83   0.91
f_invlogit[58]   0.77    0.00 0.08   0.60   0.71   0.77   0.82   0.90
f_invlogit[59]   0.72    0.00 0.12   0.43   0.64   0.73   0.81   0.92
f_invlogit[60]   0.81    0.00 0.08   0.64   0.77   0.82   0.87   0.94
f_invlogit[61]   0.76    0.00 0.16   0.38   0.67   0.79   0.88   0.97
f_invlogit[62]   0.86    0.00 0.10   0.62   0.81   0.88   0.93   0.98
f_invlogit[63]   0.81    0.00 0.08   0.64   0.77   0.82   0.87   0.94
f_invlogit[64]   0.72    0.00 0.10   0.49   0.65   0.72   0.79   0.89
f_invlogit[65]   0.39    0.00 0.14   0.16   0.29   0.39   0.48   0.67
f_invlogit[66]   0.20    0.00 0.11   0.05   0.12   0.19   0.27   0.46
f_invlogit[67]   0.17    0.00 0.10   0.03   0.09   0.15   0.22   0.41
f_invlogit[68]   0.84    0.00 0.06   0.70   0.80   0.84   0.88   0.94
log_lik[1]      -0.92    0.00 0.07  -1.07  -0.96  -0.91  -0.86  -0.79
log_lik[2]      -0.38    0.00 0.02  -0.42  -0.39  -0.38  -0.36  -0.34
log_lik[3]      -1.04    0.00 0.05  -1.13  -1.07  -1.04  -1.00  -0.93
log_lik[4]      -0.53    0.00 0.05  -0.63  -0.57  -0.53  -0.50  -0.43
log_lik[5]      -0.39    0.00 0.02  -0.44  -0.41  -0.39  -0.37  -0.35
log_lik[6]      -0.44    0.00 0.04  -0.53  -0.47  -0.44  -0.41  -0.37
log_lik[7]      -0.78    0.00 0.06  -0.92  -0.81  -0.77  -0.74  -0.71
log_lik[8]      -0.47    0.00 0.05  -0.58  -0.51  -0.47  -0.43  -0.38
log_lik[9]      -0.51    0.00 0.05  -0.60  -0.55  -0.51  -0.48  -0.42
log_lik[10]     -0.97    0.00 0.07  -1.11  -1.02  -0.98  -0.93  -0.84
log_lik[11]     -0.35    0.00 0.02  -0.40  -0.36  -0.35  -0.34  -0.32
log_lik[12]     -1.16    0.00 0.06  -1.26  -1.20  -1.16  -1.12  -1.02
log_lik[13]     -1.19    0.00 0.04  -1.26  -1.22  -1.20  -1.17  -1.10
log_lik[14]     -0.38    0.00 0.04  -0.47  -0.40  -0.37  -0.35  -0.33
log_lik[15]     -0.39    0.00 0.03  -0.45  -0.41  -0.39  -0.38  -0.35
log_lik[16]     -0.32    0.00 0.01  -0.35  -0.33  -0.32  -0.32  -0.31
log_lik[17]     -1.19    0.00 0.05  -1.27  -1.23  -1.19  -1.15  -1.07
log_lik[18]     -0.40    0.00 0.04  -0.48  -0.42  -0.39  -0.37  -0.34
log_lik[19]     -1.14    0.00 0.06  -1.23  -1.18  -1.14  -1.10  -1.02
log_lik[20]     -1.15    0.00 0.05  -1.23  -1.19  -1.15  -1.12  -1.05
log_lik[21]     -0.49    0.00 0.06  -0.62  -0.53  -0.49  -0.44  -0.38
log_lik[22]     -0.41    0.00 0.04  -0.52  -0.44  -0.41  -0.38  -0.35
log_lik[23]     -1.14    0.00 0.07  -1.25  -1.19  -1.15  -1.10  -0.99
log_lik[24]     -0.38    0.00 0.02  -0.44  -0.40  -0.38  -0.36  -0.34
log_lik[25]     -0.36    0.00 0.02  -0.41  -0.37  -0.36  -0.34  -0.33
log_lik[26]     -0.36    0.00 0.02  -0.41  -0.38  -0.36  -0.35  -0.33
log_lik[27]     -0.39    0.00 0.03  -0.45  -0.40  -0.39  -0.37  -0.34
log_lik[28]     -0.39    0.00 0.02  -0.44  -0.41  -0.39  -0.37  -0.35
log_lik[29]     -0.37    0.00 0.02  -0.41  -0.38  -0.37  -0.36  -0.34
log_lik[30]     -0.38    0.00 0.02  -0.44  -0.40  -0.38  -0.37  -0.34
log_lik[31]     -0.42    0.00 0.04  -0.51  -0.45  -0.42  -0.39  -0.35
log_lik[32]     -0.99    0.00 0.08  -1.16  -1.05  -0.99  -0.93  -0.84
log_lik[33]     -0.54    0.00 0.06  -0.64  -0.58  -0.55  -0.50  -0.42
log_lik[34]     -0.50    0.00 0.04  -0.58  -0.52  -0.50  -0.47  -0.42
log_lik[35]     -0.45    0.00 0.03  -0.53  -0.47  -0.45  -0.43  -0.39
log_lik[36]     -0.36    0.00 0.02  -0.40  -0.37  -0.35  -0.34  -0.33
log_lik[37]     -1.20    0.00 0.05  -1.27  -1.23  -1.20  -1.17  -1.10
log_lik[38]     -0.38    0.00 0.03  -0.44  -0.39  -0.37  -0.35  -0.33
log_lik[39]     -0.34    0.00 0.02  -0.39  -0.35  -0.33  -0.32  -0.32
log_lik[40]     -1.11    0.00 0.06  -1.22  -1.15  -1.11  -1.07  -0.98
log_lik[41]     -1.20    0.00 0.06  -1.29  -1.25  -1.21  -1.16  -1.06
log_lik[42]     -0.36    0.00 0.03  -0.44  -0.37  -0.35  -0.33  -0.32
log_lik[43]     -0.33    0.00 0.02  -0.38  -0.33  -0.32  -0.32  -0.31
log_lik[44]     -0.32    0.00 0.02  -0.36  -0.32  -0.31  -0.31  -0.31
log_lik[45]     -0.34    0.00 0.02  -0.40  -0.35  -0.34  -0.33  -0.32
log_lik[46]     -0.83    0.00 0.07  -0.98  -0.86  -0.81  -0.78  -0.73
log_lik[47]     -0.58    0.00 0.05  -0.66  -0.62  -0.59  -0.55  -0.47
log_lik[48]     -0.34    0.00 0.02  -0.39  -0.35  -0.33  -0.32  -0.32
log_lik[49]     -0.36    0.00 0.04  -0.46  -0.38  -0.35  -0.34  -0.32
log_lik[50]     -0.33    0.00 0.02  -0.38  -0.34  -0.33  -0.32  -0.31
log_lik[51]     -0.33    0.00 0.02  -0.38  -0.34  -0.33  -0.32  -0.32
log_lik[52]     -0.36    0.00 0.03  -0.44  -0.38  -0.35  -0.34  -0.32
log_lik[53]     -0.33    0.00 0.01  -0.37  -0.34  -0.33  -0.32  -0.32
log_lik[54]     -0.37    0.00 0.03  -0.45  -0.38  -0.36  -0.34  -0.32
log_lik[55]     -0.36    0.00 0.03  -0.42  -0.37  -0.35  -0.34  -0.32
log_lik[56]     -0.35    0.00 0.02  -0.40  -0.36  -0.35  -0.34  -0.32
log_lik[57]     -1.15    0.00 0.06  -1.25  -1.19  -1.15  -1.11  -1.03
log_lik[58]     -0.38    0.00 0.03  -0.44  -0.40  -0.38  -0.36  -0.34
log_lik[59]     -0.40    0.00 0.04  -0.50  -0.42  -0.39  -0.37  -0.34
log_lik[60]     -0.37    0.00 0.02  -0.42  -0.38  -0.36  -0.35  -0.33
log_lik[61]     -0.39    0.00 0.05  -0.52  -0.41  -0.37  -0.35  -0.32
log_lik[62]     -0.35    0.00 0.03  -0.43  -0.37  -0.35  -0.33  -0.32
log_lik[63]     -0.37    0.00 0.02  -0.42  -0.38  -0.36  -0.35  -0.33
log_lik[64]     -0.40    0.00 0.03  -0.48  -0.42  -0.40  -0.37  -0.34
log_lik[65]     -0.91    0.00 0.08  -1.08  -0.96  -0.90  -0.85  -0.77
log_lik[66]     -0.80    0.00 0.06  -0.95  -0.84  -0.79  -0.76  -0.72
log_lik[67]     -0.78    0.00 0.06  -0.92  -0.81  -0.77  -0.74  -0.71
log_lik[68]     -0.36    0.00 0.02  -0.40  -0.37  -0.36  -0.35  -0.33
log_y_new[1]    -0.18    0.00 0.08  -0.36  -0.23  -0.17  -0.12  -0.06
log_y_new[2]    -0.14    0.00 0.08  -0.33  -0.19  -0.13  -0.08  -0.03
log_y_new[3]    -0.84    0.01 0.42  -1.83  -1.06  -0.77  -0.53  -0.24
log_y_new[4]    -1.53    0.01 0.39  -2.37  -1.77  -1.50  -1.25  -0.87
log_y_new[5]    -0.17    0.00 0.14  -0.54  -0.24  -0.13  -0.07  -0.02
log_y_new[6]    -0.70    0.01 0.30  -1.40  -0.87  -0.65  -0.48  -0.25
log_y_new[7]    -1.28    0.01 0.35  -2.08  -1.50  -1.24  -1.03  -0.71
log_y_new[8]    -0.12    0.00 0.11  -0.41  -0.16  -0.09  -0.05  -0.01
log_y_new[9]    -0.11    0.00 0.09  -0.36  -0.15  -0.09  -0.05  -0.01
log_y_new[10]   -0.54    0.00 0.22  -1.06  -0.67  -0.51  -0.38  -0.21
log_y_new[11]   -0.30    0.00 0.25  -0.97  -0.40  -0.23  -0.13  -0.03
log_y_new[12]   -0.09    0.00 0.08  -0.32  -0.12  -0.07  -0.03  -0.01
log_y_new[13]   -0.78    0.01 0.30  -1.50  -0.95  -0.74  -0.56  -0.31
log_y_new[14]   -0.24    0.00 0.11  -0.51  -0.31  -0.22  -0.16  -0.08
log_y_new[15]   -0.21    0.00 0.10  -0.44  -0.27  -0.19  -0.14  -0.06
lp__           -39.31    0.07 2.21 -44.27 -40.63 -39.02 -37.69 -35.87
               n_eff Rhat
beta0           2273    1
betak[1]        2560    1
betak[2]        2933    1
betak[3]        2164    1
mu_beta0         899    1
sigma_beta0     1118    1
mu_betak        1008    1
sigma_betak     1351    1
f[1]            3773    1
f[2]            2145    1
f[3]            3745    1
f[4]            2884    1
f[5]            2313    1
f[6]            3239    1
f[7]            3234    1
f[8]            3016    1
f[9]            4076    1
f[10]           3389    1
f[11]           2936    1
f[12]           3522    1
f[13]           2611    1
f[14]           2184    1
f[15]           2459    1
f[16]           1936    1
f[17]           2482    1
f[18]           3103    1
f[19]           2949    1
f[20]           3465    1
f[21]           2824    1
f[22]           3172    1
f[23]           3450    1
f[24]           2335    1
f[25]           2195    1
f[26]           2596    1
f[27]           2208    1
f[28]           2241    1
f[29]           2065    1
f[30]           2098    1
f[31]           2359    1
f[32]           2924    1
f[33]           3800    1
f[34]           3663    1
f[35]           3579    1
f[36]           1907    1
f[37]           2023    1
f[38]           2453    1
f[39]           1927    1
f[40]           2230    1
f[41]           1918    1
f[42]           2013    1
f[43]           2063    1
f[44]           2068    1
f[45]           1953    1
f[46]           3935    1
f[47]           3667    1
f[48]           2207    1
f[49]           2658    1
f[50]           2148    1
f[51]           2269    1
f[52]           2934    1
f[53]           2184    1
f[54]           3132    1
f[55]           3036    1
f[56]           2867    1
f[57]           3668    1
f[58]           3472    1
f[59]           3022    1
f[60]           2168    1
f[61]           2776    1
f[62]           2545    1
f[63]           3391    1
f[64]           3209    1
f[65]           3418    1
f[66]           3122    1
f[67]           3079    1
f[68]           2081    1
f[69]           1887    1
f[70]           2914    1
f[71]           3254    1
f[72]           2743    1
f[73]           3371    1
f[74]           2134    1
