Inference for Stan model: Hier_model_TP_new.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
f[29]            1.29    0.01 0.33   0.65   1.06   1.28   1.51   1.97
f[30]            0.99    0.01 0.34   0.33   0.75   0.98   1.21   1.69
f[31]            0.44    0.01 0.42  -0.40   0.17   0.45   0.71   1.27
f[32]           -0.09    0.01 0.49  -1.07  -0.41  -0.07   0.25   0.86
f[33]           -0.83    0.01 0.64  -2.15  -1.26  -0.80  -0.39   0.38
f[34]           -0.10    0.01 0.41  -0.92  -0.37  -0.09   0.18   0.68
f[35]            0.30    0.01 0.37  -0.43   0.05   0.29   0.54   1.03
f[36]            1.55    0.01 0.39   0.84   1.29   1.54   1.81   2.35
f[37]            1.55    0.01 0.41   0.78   1.26   1.55   1.82   2.41
f[38]            1.23    0.01 0.43   0.42   0.94   1.22   1.49   2.12
f[39]            2.12    0.02 0.65   0.95   1.68   2.09   2.54   3.48
f[40]            0.70    0.01 0.37  -0.02   0.44   0.69   0.94   1.44
f[41]            1.41    0.01 0.51   0.46   1.07   1.40   1.74   2.47
f[42]            1.42    0.01 0.62   0.24   0.99   1.40   1.81   2.68
f[43]            2.91    0.02 0.94   1.17   2.27   2.89   3.51   4.86
f[44]            4.36    0.04 1.72   1.20   3.18   4.28   5.47   7.90
f[45]            2.01    0.02 0.65   0.80   1.58   2.00   2.42   3.35
f[46]           -1.15    0.01 0.69  -2.54  -1.61  -1.13  -0.67   0.14
f[47]           -1.10    0.01 0.67  -2.48  -1.55  -1.09  -0.63   0.16
f[48]            2.45    0.02 0.75   1.05   1.93   2.43   2.92   4.02
f[49]            1.86    0.01 0.68   0.56   1.42   1.84   2.30   3.30
f[50]            2.60    0.02 0.77   1.20   2.07   2.59   3.09   4.24
f[51]            2.55    0.02 0.68   1.30   2.08   2.53   2.98   4.00
f[52]            1.93    0.01 0.63   0.74   1.51   1.91   2.34   3.27
f[53]            2.66    0.02 0.70   1.39   2.18   2.64   3.10   4.14
f[54]            1.82    0.01 0.61   0.66   1.41   1.80   2.21   3.09
f[55]            2.00    0.01 0.59   0.89   1.60   1.98   2.38   3.25
f[56]            2.00    0.01 0.52   1.03   1.63   1.98   2.33   3.09
f[57]            1.37    0.01 0.43   0.56   1.09   1.35   1.64   2.26
f[58]            1.29    0.01 0.40   0.52   1.02   1.27   1.55   2.10
f[59]            1.05    0.01 0.53   0.07   0.71   1.02   1.37   2.14
f[60]            1.31    0.01 0.41   0.55   1.03   1.30   1.57   2.16
f[61]            1.56    0.01 0.73   0.11   1.08   1.54   2.03   3.09
f[62]            2.01    0.02 0.68   0.71   1.56   2.00   2.45   3.43
f[63]            1.64    0.01 0.47   0.74   1.32   1.62   1.95   2.64
f[64]            1.02    0.01 0.44   0.20   0.73   1.01   1.29   1.92
f[65]           -0.47    0.01 0.58  -1.68  -0.84  -0.45  -0.08   0.64
f[66]           -1.21    0.01 0.69  -2.62  -1.67  -1.19  -0.73   0.07
f[67]           -1.48    0.02 0.76  -3.03  -1.98  -1.46  -0.94  -0.07
f[68]            1.56    0.01 0.40   0.83   1.28   1.55   1.82   2.36
f[69]            1.68    0.01 0.45   0.84   1.36   1.66   1.97   2.63
f[70]           -1.22    0.01 0.71  -2.70  -1.67  -1.20  -0.72   0.10
f[71]           -0.51    0.01 0.61  -1.79  -0.92  -0.49  -0.10   0.63
f[72]           -1.96    0.02 0.88  -3.80  -2.56  -1.94  -1.36  -0.33
f[73]            0.59    0.01 0.40  -0.16   0.33   0.58   0.85   1.39
f[74]            1.70    0.01 0.43   0.91   1.41   1.68   1.98   2.59
f[75]            1.75    0.01 0.43   0.95   1.47   1.74   2.04   2.65
f[76]            1.47    0.01 0.43   0.65   1.19   1.46   1.75   2.37
f[77]            1.44    0.01 0.37   0.75   1.19   1.43   1.68   2.20
f[78]            1.23    0.01 0.39   0.50   0.97   1.22   1.47   2.02
f[79]           -0.12    0.01 0.44  -1.01  -0.42  -0.11   0.18   0.72
f[80]            1.99    0.02 0.73   0.59   1.51   1.98   2.46   3.48
f[81]            2.24    0.02 0.76   0.80   1.72   2.22   2.72   3.82
f[82]           -1.17    0.01 0.69  -2.59  -1.62  -1.15  -0.68   0.11
f[83]            3.81    0.03 1.42   1.17   2.85   3.78   4.73   6.73
y_predict[1]     0.40    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[2]     0.76    0.01 0.43   0.00   1.00   1.00   1.00   1.00
y_predict[3]     0.58    0.01 0.49   0.00   0.00   1.00   1.00   1.00
y_predict[4]     0.42    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[5]     0.71    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[6]     0.63    0.01 0.48   0.00   0.00   1.00   1.00   1.00
y_predict[7]     0.20    0.01 0.40   0.00   0.00   0.00   0.00   1.00
y_predict[8]     0.57    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[9]     0.40    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[10]    0.53    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[11]    0.86    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[12]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[13]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[14]    0.72    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[15]    0.70    0.01 0.46   0.00   0.00   1.00   1.00   1.00
y_predict[16]    0.95    0.00 0.22   0.00   1.00   1.00   1.00   1.00
y_predict[17]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[18]    0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[19]    0.74    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[20]    0.78    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[21]    0.52    0.01 0.50   0.00   0.00   1.00   1.00   1.00
y_predict[22]    0.70    0.01 0.46   0.00   0.00   1.00   1.00   1.00
y_predict[23]    0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[24]    0.75    0.01 0.43   0.00   1.00   1.00   1.00   1.00
y_predict[25]    0.82    0.01 0.39   0.00   1.00   1.00   1.00   1.00
y_predict[26]    0.82    0.01 0.39   0.00   1.00   1.00   1.00   1.00
y_predict[27]    0.72    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[28]    0.72    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[29]    0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[30]    0.71    0.01 0.45   0.00   0.00   1.00   1.00   1.00
y_predict[31]    0.60    0.01 0.49   0.00   0.00   1.00   1.00   1.00
y_predict[32]    0.49    0.01 0.50   0.00   0.00   0.00   1.00   1.00
y_predict[33]    0.31    0.01 0.46   0.00   0.00   0.00   1.00   1.00
y_predict[34]    0.49    0.01 0.50   0.00   0.00   0.00   1.00   1.00
y_predict[35]    0.58    0.01 0.49   0.00   0.00   1.00   1.00   1.00
y_predict[36]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[37]    0.82    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[38]    0.76    0.01 0.43   0.00   1.00   1.00   1.00   1.00
y_predict[39]    0.88    0.01 0.33   0.00   1.00   1.00   1.00   1.00
y_predict[40]    0.68    0.01 0.47   0.00   0.00   1.00   1.00   1.00
y_predict[41]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[42]    0.79    0.01 0.41   0.00   1.00   1.00   1.00   1.00
y_predict[43]    0.93    0.00 0.25   0.00   1.00   1.00   1.00   1.00
y_predict[44]    0.96    0.00 0.19   0.00   1.00   1.00   1.00   1.00
y_predict[45]    0.87    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[46]    0.26    0.01 0.44   0.00   0.00   0.00   1.00   1.00
y_predict[47]    0.28    0.01 0.45   0.00   0.00   0.00   1.00   1.00
y_predict[48]    0.90    0.00 0.29   0.00   1.00   1.00   1.00   1.00
y_predict[49]    0.84    0.01 0.36   0.00   1.00   1.00   1.00   1.00
y_predict[50]    0.91    0.00 0.28   0.00   1.00   1.00   1.00   1.00
y_predict[51]    0.92    0.00 0.28   0.00   1.00   1.00   1.00   1.00
y_predict[52]    0.85    0.01 0.35   0.00   1.00   1.00   1.00   1.00
y_predict[53]    0.92    0.00 0.26   0.00   1.00   1.00   1.00   1.00
y_predict[54]    0.85    0.01 0.36   0.00   1.00   1.00   1.00   1.00
y_predict[55]    0.87    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[56]    0.87    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[57]    0.79    0.01 0.41   0.00   1.00   1.00   1.00   1.00
y_predict[58]    0.76    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[59]    0.73    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[60]    0.77    0.01 0.42   0.00   1.00   1.00   1.00   1.00
y_predict[61]    0.80    0.01 0.40   0.00   1.00   1.00   1.00   1.00
y_predict[62]    0.87    0.01 0.34   0.00   1.00   1.00   1.00   1.00
y_predict[63]    0.83    0.01 0.38   0.00   1.00   1.00   1.00   1.00
y_predict[64]    0.73    0.01 0.44   0.00   0.00   1.00   1.00   1.00
y_predict[65]    0.40    0.01 0.49   0.00   0.00   0.00   1.00   1.00
y_predict[66]    0.26    0.01 0.44   0.00   0.00   0.00   1.00   1.00
y_predict[67]    0.21    0.01 0.41   0.00   0.00   0.00   0.00   1.00
y_predict[68]    0.82    0.01 0.39   0.00   1.00   1.00   1.00   1.00
f_invlogit[1]    0.40    0.00 0.12   0.18   0.31   0.40   0.48   0.63
f_invlogit[2]    0.76    0.00 0.06   0.64   0.72   0.77   0.80   0.86
f_invlogit[3]    0.59    0.00 0.08   0.44   0.54   0.60   0.65   0.73
f_invlogit[4]    0.42    0.00 0.12   0.20   0.34   0.42   0.50   0.66
f_invlogit[5]    0.72    0.00 0.06   0.58   0.67   0.72   0.76   0.83
f_invlogit[6]    0.64    0.00 0.10   0.45   0.58   0.64   0.71   0.81
f_invlogit[7]    0.20    0.00 0.11   0.04   0.12   0.18   0.27   0.48
f_invlogit[8]    0.57    0.00 0.11   0.36   0.50   0.57   0.65   0.78
f_invlogit[9]    0.40    0.00 0.11   0.19   0.31   0.39   0.47   0.63
f_invlogit[10]   0.52    0.00 0.10   0.31   0.45   0.52   0.59   0.70
f_invlogit[11]   0.87    0.00 0.06   0.73   0.83   0.88   0.91   0.96
f_invlogit[12]   0.80    0.00 0.07   0.64   0.76   0.81   0.86   0.92
f_invlogit[13]   0.82    0.00 0.06   0.69   0.78   0.82   0.86   0.91
f_invlogit[14]   0.72    0.00 0.10   0.51   0.66   0.73   0.79   0.89
f_invlogit[15]   0.71    0.00 0.07   0.56   0.66   0.71   0.75   0.83
f_invlogit[16]   0.95    0.00 0.04   0.84   0.94   0.96   0.98   0.99
f_invlogit[17]   0.80    0.00 0.07   0.65   0.76   0.81   0.85   0.92
f_invlogit[18]   0.74    0.00 0.09   0.55   0.68   0.74   0.80   0.89
f_invlogit[19]   0.74    0.00 0.07   0.59   0.70   0.75   0.79   0.87
f_invlogit[20]   0.78    0.00 0.06   0.64   0.74   0.78   0.82   0.89
f_invlogit[21]   0.53    0.00 0.13   0.28   0.43   0.53   0.62   0.78
f_invlogit[22]   0.70    0.00 0.10   0.50   0.64   0.71   0.77   0.87
f_invlogit[23]   0.78    0.00 0.08   0.60   0.73   0.79   0.83   0.91
f_invlogit[24]   0.74    0.00 0.07   0.60   0.70   0.75   0.79   0.86
f_invlogit[25]   0.81    0.00 0.07   0.66   0.77   0.82   0.86   0.92
f_invlogit[26]   0.81    0.00 0.06   0.68   0.78   0.82   0.86   0.91
f_invlogit[27]   0.71    0.00 0.07   0.56   0.67   0.72   0.76   0.84
f_invlogit[28]   0.71    0.00 0.06   0.58   0.67   0.72   0.76   0.83
f_invlogit[29]   0.78    0.00 0.06   0.66   0.74   0.78   0.82   0.88
f_invlogit[30]   0.72    0.00 0.07   0.58   0.68   0.73   0.77   0.84
f_invlogit[31]   0.60    0.00 0.10   0.40   0.54   0.61   0.67   0.78
f_invlogit[32]   0.48    0.00 0.12   0.26   0.40   0.48   0.56   0.70
f_invlogit[33]   0.32    0.00 0.13   0.10   0.22   0.31   0.40   0.59
f_invlogit[34]   0.48    0.00 0.10   0.28   0.41   0.48   0.54   0.66
f_invlogit[35]   0.57    0.00 0.09   0.40   0.51   0.57   0.63   0.74
f_invlogit[36]   0.82    0.00 0.06   0.70   0.78   0.82   0.86   0.91
f_invlogit[37]   0.82    0.00 0.06   0.69   0.78   0.82   0.86   0.92
f_invlogit[38]   0.77    0.00 0.07   0.60   0.72   0.77   0.82   0.89
f_invlogit[39]   0.88    0.00 0.07   0.72   0.84   0.89   0.93   0.97
f_invlogit[40]   0.66    0.00 0.08   0.49   0.61   0.67   0.72   0.81
f_invlogit[41]   0.79    0.00 0.08   0.61   0.74   0.80   0.85   0.92
f_invlogit[42]   0.79    0.00 0.10   0.56   0.73   0.80   0.86   0.94
f_invlogit[43]   0.93    0.00 0.06   0.76   0.91   0.95   0.97   0.99
f_invlogit[44]   0.96    0.00 0.07   0.77   0.96   0.99   1.00   1.00
f_invlogit[45]   0.87    0.00 0.07   0.69   0.83   0.88   0.92   0.97
f_invlogit[46]   0.26    0.00 0.12   0.07   0.17   0.24   0.34   0.53
f_invlogit[47]   0.27    0.00 0.12   0.08   0.18   0.25   0.35   0.54
f_invlogit[48]   0.90    0.00 0.06   0.74   0.87   0.92   0.95   0.98
f_invlogit[49]   0.85    0.00 0.08   0.64   0.81   0.86   0.91   0.96
f_invlogit[50]   0.92    0.00 0.06   0.77   0.89   0.93   0.96   0.99
f_invlogit[51]   0.91    0.00 0.05   0.79   0.89   0.93   0.95   0.98
f_invlogit[52]   0.86    0.00 0.07   0.68   0.82   0.87   0.91   0.96
f_invlogit[53]   0.92    0.00 0.05   0.80   0.90   0.93   0.96   0.98
f_invlogit[54]   0.85    0.00 0.08   0.66   0.80   0.86   0.90   0.96
f_invlogit[55]   0.87    0.00 0.06   0.71   0.83   0.88   0.92   0.96
f_invlogit[56]   0.87    0.00 0.06   0.74   0.84   0.88   0.91   0.96
f_invlogit[57]   0.79    0.00 0.07   0.64   0.75   0.79   0.84   0.91
f_invlogit[58]   0.78    0.00 0.07   0.63   0.73   0.78   0.82   0.89
f_invlogit[59]   0.73    0.00 0.10   0.52   0.67   0.74   0.80   0.89
f_invlogit[60]   0.78    0.00 0.07   0.63   0.74   0.79   0.83   0.90
f_invlogit[61]   0.80    0.00 0.11   0.53   0.75   0.82   0.88   0.96
f_invlogit[62]   0.86    0.00 0.08   0.67   0.83   0.88   0.92   0.97
f_invlogit[63]   0.83    0.00 0.06   0.68   0.79   0.84   0.87   0.93
f_invlogit[64]   0.73    0.00 0.08   0.55   0.68   0.73   0.78   0.87
f_invlogit[65]   0.39    0.00 0.13   0.16   0.30   0.39   0.48   0.65
f_invlogit[66]   0.25    0.00 0.12   0.07   0.16   0.23   0.33   0.52
f_invlogit[67]   0.21    0.00 0.12   0.05   0.12   0.19   0.28   0.48
f_invlogit[68]   0.82    0.00 0.06   0.70   0.78   0.82   0.86   0.91
log_lik[1]      -0.91    0.00 0.07  -1.06  -0.96  -0.91  -0.86  -0.79
log_lik[2]      -0.38    0.00 0.02  -0.42  -0.40  -0.38  -0.37  -0.35
log_lik[3]      -1.03    0.00 0.05  -1.13  -1.07  -1.04  -1.00  -0.94
log_lik[4]      -0.51    0.00 0.05  -0.60  -0.54  -0.50  -0.47  -0.42
log_lik[5]      -0.40    0.00 0.02  -0.44  -0.41  -0.40  -0.38  -0.36
log_lik[6]      -0.42    0.00 0.03  -0.49  -0.45  -0.42  -0.40  -0.37
log_lik[7]      -0.80    0.00 0.06  -0.96  -0.84  -0.79  -0.75  -0.72
log_lik[8]      -0.45    0.00 0.04  -0.53  -0.48  -0.45  -0.42  -0.38
log_lik[9]      -0.52    0.00 0.05  -0.60  -0.55  -0.52  -0.48  -0.43
log_lik[10]     -0.99    0.00 0.06  -1.11  -1.03  -0.99  -0.95  -0.86
log_lik[11]     -0.35    0.00 0.02  -0.39  -0.36  -0.35  -0.34  -0.32
log_lik[12]     -1.17    0.00 0.05  -1.26  -1.21  -1.18  -1.15  -1.07
log_lik[13]     -1.18    0.00 0.04  -1.25  -1.21  -1.19  -1.16  -1.10
log_lik[14]     -0.40    0.00 0.03  -0.47  -0.42  -0.39  -0.37  -0.35
log_lik[15]     -0.40    0.00 0.02  -0.45  -0.42  -0.40  -0.39  -0.36
log_lik[16]     -0.33    0.00 0.01  -0.36  -0.33  -0.32  -0.32  -0.31
log_lik[17]     -1.17    0.00 0.05  -1.25  -1.21  -1.18  -1.14  -1.07
log_lik[18]     -0.39    0.00 0.03  -0.46  -0.41  -0.39  -0.37  -0.34
log_lik[19]     -1.13    0.00 0.05  -1.22  -1.17  -1.14  -1.10  -1.03
log_lik[20]     -1.16    0.00 0.04  -1.23  -1.19  -1.16  -1.13  -1.06
log_lik[21]     -0.47    0.00 0.05  -0.56  -0.50  -0.46  -0.43  -0.38
log_lik[22]     -0.40    0.00 0.03  -0.48  -0.42  -0.40  -0.38  -0.35
log_lik[23]     -1.16    0.00 0.05  -1.25  -1.20  -1.16  -1.12  -1.04
log_lik[24]     -0.39    0.00 0.02  -0.44  -0.40  -0.39  -0.37  -0.35
log_lik[25]     -0.37    0.00 0.02  -0.42  -0.38  -0.37  -0.35  -0.34
log_lik[26]     -0.37    0.00 0.02  -0.41  -0.38  -0.37  -0.35  -0.34
log_lik[27]     -0.40    0.00 0.02  -0.45  -0.41  -0.40  -0.38  -0.36
log_lik[28]     -0.40    0.00 0.02  -0.44  -0.41  -0.40  -0.38  -0.36
log_lik[29]     -0.38    0.00 0.02  -0.42  -0.39  -0.38  -0.37  -0.35
log_lik[30]     -0.40    0.00 0.02  -0.44  -0.41  -0.39  -0.38  -0.36
log_lik[31]     -0.44    0.00 0.03  -0.51  -0.46  -0.43  -0.41  -0.38
log_lik[32]     -0.96    0.00 0.07  -1.11  -1.01  -0.96  -0.91  -0.83
log_lik[33]     -0.55    0.00 0.05  -0.64  -0.59  -0.55  -0.51  -0.44
log_lik[34]     -0.48    0.00 0.04  -0.56  -0.51  -0.48  -0.46  -0.42
log_lik[35]     -0.45    0.00 0.03  -0.51  -0.47  -0.45  -0.43  -0.39
log_lik[36]     -0.37    0.00 0.02  -0.40  -0.38  -0.36  -0.35  -0.34
log_lik[37]     -1.18    0.00 0.04  -1.25  -1.21  -1.19  -1.16  -1.09
log_lik[38]     -0.38    0.00 0.02  -0.44  -0.40  -0.38  -0.37  -0.34
log_lik[39]     -0.35    0.00 0.02  -0.40  -0.36  -0.34  -0.33  -0.32
log_lik[40]     -1.08    0.00 0.05  -1.18  -1.12  -1.08  -1.04  -0.97
log_lik[41]     -1.17    0.00 0.05  -1.26  -1.21  -1.17  -1.13  -1.05
log_lik[42]     -0.38    0.00 0.03  -0.45  -0.39  -0.37  -0.35  -0.33
log_lik[43]     -0.33    0.00 0.02  -0.38  -0.34  -0.33  -0.32  -0.32
log_lik[44]     -0.32    0.00 0.02  -0.38  -0.32  -0.32  -0.31  -0.31
log_lik[45]     -0.35    0.00 0.02  -0.41  -0.36  -0.35  -0.34  -0.32
log_lik[46]     -0.83    0.00 0.07  -1.00  -0.88  -0.82  -0.78  -0.73
log_lik[47]     -0.57    0.00 0.05  -0.66  -0.61  -0.57  -0.53  -0.46
log_lik[48]     -0.34    0.00 0.02  -0.39  -0.35  -0.34  -0.33  -0.32
log_lik[49]     -0.36    0.00 0.03  -0.42  -0.37  -0.35  -0.34  -0.32
log_lik[50]     -0.34    0.00 0.02  -0.38  -0.34  -0.33  -0.33  -0.32
log_lik[51]     -0.34    0.00 0.01  -0.38  -0.34  -0.33  -0.33  -0.32
log_lik[52]     -0.35    0.00 0.02  -0.41  -0.37  -0.35  -0.34  -0.32
log_lik[53]     -0.34    0.00 0.01  -0.37  -0.34  -0.33  -0.33  -0.32
log_lik[54]     -0.36    0.00 0.02  -0.42  -0.37  -0.35  -0.34  -0.33
log_lik[55]     -0.35    0.00 0.02  -0.40  -0.36  -0.35  -0.34  -0.32
log_lik[56]     -0.35    0.00 0.02  -0.39  -0.36  -0.35  -0.34  -0.33
log_lik[57]     -1.16    0.00 0.05  -1.24  -1.20  -1.17  -1.14  -1.06
log_lik[58]     -0.38    0.00 0.02  -0.43  -0.39  -0.38  -0.36  -0.34
log_lik[59]     -0.39    0.00 0.03  -0.47  -0.41  -0.39  -0.37  -0.34
log_lik[60]     -0.38    0.00 0.02  -0.43  -0.39  -0.38  -0.36  -0.34
log_lik[61]     -0.37    0.00 0.04  -0.46  -0.39  -0.36  -0.35  -0.33
log_lik[62]     -0.35    0.00 0.02  -0.41  -0.36  -0.35  -0.34  -0.32
log_lik[63]     -0.36    0.00 0.02  -0.41  -0.37  -0.36  -0.35  -0.33
log_lik[64]     -0.39    0.00 0.03  -0.46  -0.41  -0.39  -0.38  -0.35
log_lik[65]     -0.91    0.00 0.08  -1.07  -0.96  -0.91  -0.86  -0.77
log_lik[66]     -0.83    0.00 0.07  -0.99  -0.87  -0.82  -0.78  -0.73
log_lik[67]     -0.81    0.00 0.07  -0.96  -0.84  -0.79  -0.76  -0.72
log_lik[68]     -0.37    0.00 0.02  -0.40  -0.38  -0.36  -0.35  -0.34
log_y_new[1]    -0.09    0.00 0.06  -0.24  -0.12  -0.08  -0.05  -0.02
log_y_new[2]    -0.31    0.00 0.12  -0.61  -0.38  -0.30  -0.22  -0.12
log_y_new[3]    -0.16    0.00 0.11  -0.44  -0.20  -0.13  -0.08  -0.03
log_y_new[4]    -0.27    0.00 0.10  -0.50  -0.33  -0.26  -0.20  -0.11
log_y_new[5]    -0.33    0.00 0.09  -0.54  -0.39  -0.32  -0.26  -0.17
log_y_new[6]    -1.61    0.01 0.34  -2.36  -1.82  -1.58  -1.38  -1.01
log_y_new[7]    -0.30    0.00 0.17  -0.73  -0.39  -0.26  -0.17  -0.07
log_y_new[8]    -0.76    0.00 0.22  -1.22  -0.90  -0.74  -0.60  -0.38
log_y_new[9]    -0.27    0.00 0.09  -0.47  -0.32  -0.26  -0.21  -0.12
log_y_new[10]   -0.30    0.00 0.18  -0.74  -0.40  -0.26  -0.17  -0.07
log_y_new[11]   -0.15    0.00 0.09  -0.40  -0.19  -0.13  -0.08  -0.03
log_y_new[12]   -0.13    0.00 0.08  -0.33  -0.17  -0.12  -0.08  -0.03
log_y_new[13]   -0.16    0.00 0.09  -0.39  -0.20  -0.14  -0.09  -0.04
log_y_new[14]   -1.23    0.01 0.45  -2.26  -1.51  -1.17  -0.91  -0.52
log_y_new[15]   -0.51    0.00 0.24  -1.06  -0.64  -0.48  -0.33  -0.15
lp__           -42.08    0.07 2.24 -47.09 -43.32 -41.75 -40.48 -38.66
               n_eff Rhat
beta0           1671    1
betak[1]        2265    1
betak[2]        2200    1
betak[3]        2155    1
mu_beta0        2043    1
sigma_beta0     2249    1
mu_betak        1776    1
sigma_betak     1540    1
f[1]            2830    1
f[2]            1421    1
f[3]            3048    1
f[4]            2585    1
f[5]            2182    1
f[6]            3272    1
f[7]            2304    1
f[8]            3049    1
f[9]            2920    1
f[10]           2781    1
f[11]           2044    1
f[12]           2930    1
f[13]           2005    1
f[14]           2775    1
f[15]           2628    1
f[16]           1504    1
f[17]           2241    1
f[18]           3095    1
f[19]           2698    1
f[20]           2845    1
f[21]           2870    1
f[22]           3211    1
f[23]           3135    1
f[24]           2413    1
f[25]           2073    1
f[26]           2122    1
f[27]           2542    1
f[28]           2065    1
f[29]           1726    1
f[30]           2176    1
f[31]           2905    1
f[32]           3278    1
f[33]           2875    1
f[34]           2782    1
f[35]           3229    1
f[36]           1423    1
f[37]           1315    1
f[38]           2479    1
f[39]           1755    1
f[40]           2925    1
f[41]           1939    1
f[42]           2364    1
f[43]           1655    1
f[44]           1968    1
f[45]           1644    1
f[46]           2568    1
f[47]           2496    1
f[48]           1703    1
f[49]           2183    1
f[50]           1668    1
f[51]           1680    1
f[52]           2537    1
f[53]           1643    1
f[54]           2704    1
f[55]           2392    1
f[56]           1968    1
f[57]           3034    1
f[58]           2974    1
f[59]           3054    1
f[60]           2195    1
f[61]           2599    1
f[62]           1985    1
f[63]           2679    1
f[64]           3167    1
f[65]           2728    1
f[66]           2324    1
f[67]           2282    1
f[68]           1415    1
f[69]           1697    1
f[70]           2298    1
f[71]           3093    1
f[72]           2152    1
f[73]           3307    1
f[74]           1786    1
f[75]           1986    1
f[76]           2864    1
